gene	role	n_measurements	wu2025_dp_overlap
ATP11B	resister	1	NO
ATP2A1	resister	1	NO
ATP2B1	resister	1	NO
ATP2C1	resister	1	NO
ATP5A1	resister	1	NO
ATP5F1	resister	1	NO
ATP5SL	resister	1	NO
ATP6V0E1	resister	1	NO
ATP6V1G3	resister	1	NO
ATPAF2	resister	1	NO
ATR	resister	1	NO
ATRAID	resister	1	NO
ATRX	resister	1	NO
ATXN2L	resister	1	NO
ATXN7L2	resister	1	NO
AURKA	resister	1	NO
AVEN	resister	1	NO
AVPR2	resister	1	NO
AXIN2	resister	1	NO
AXL	resister	1	NO
B3GAT3	resister	1	NO
BAIAP2	resister	1	NO
BANK1	resister	1	NO
BARHL2	resister	1	NO
BAZ1B	resister	1	NO
BCCIP	resister	1	NO
BCL2L12	resister	1	NO
BCOR	resister	1	NO
BCORL1	resister	1	NO
BDP1	resister	1	NO
BECN1	resister	1	NO
BEND3	resister	1	NO
BID	resister	1	NO
BLCAP	resister	1	NO
BMP2	resister	1	NO
BMP8A	resister	1	NO
BNC2	resister	1	NO
BNIP1	resister	1	NO
BNIP2	resister	1	NO
BPIFC	resister	1	NO
BPTF	resister	1	NO
BRD1	resister	1	NO
BRD2	resister	1	NO
BRD4	resister	1	NO
BRD7	resister	1	NO
BRD8	resister	1	NO
BRD9	resister	1	NO
BRF2	resister	1	NO
BRMS1L	resister	1	NO
BTBD6	resister	1	NO
BTBD8	resister	1	NO
BTBD9	resister	1	NO
BTG1	resister	1	NO
BTG3	resister	1	NO
C10orf76	resister	1	NO
C10orf82	resister	1	NO
C11orf21	resister	1	NO
C11orf73	resister	1	NO
C11orf74	resister	1	NO
C11orf85	resister	1	NO
C12orf56	resister	1	NO
C12orf65	resister	1	NO
C14orf180	resister	1	NO
C15orf40	resister	1	NO
C15orf41	resister	1	NO
C15orf54	resister	1	NO
C16orf3	resister	1	NO
C16orf58	resister	1	NO
C16orf59	resister	1	NO
C16orf86	resister	1	NO
C17orf89	resister	1	NO
C19orf45	resister	1	NO
C19orf47	resister	1	NO
C1GALT1	resister	1	NO
C1GALT1C1	resister	1	NO
C1orf35	resister	1	NO
C20orf194	resister	1	NO
C20orf196	resister	1	NO
C21orf59	resister	1	NO
C22orf43	resister	1	NO
C22orf46	resister	1	NO
C2CD4A	resister	1	NO
C5orf47	resister	1	NO
C5orf52	resister	1	NO
C5orf54	resister	1	NO
C6orf1	resister	1	NO
C6orf106	resister	1	NO
C6orf118	resister	1	NO
C6orf120	resister	1	NO
C6orf15	resister	1	NO
C6orf25	resister	1	NO
C6orf52	resister	1	NO
C6orf62	resister	1	NO
C6orf89	resister	1	NO
C7orf31	resister	1	NO
C8orf44	resister	1	NO
C8orf59	resister	1	NO
C9orf123	resister	1	NO
C9orf153	resister	1	NO
C9orf57	resister	1	NO
C9orf78	resister	1	NO
C9orf92	resister	1	NO
CA1	resister	1	NO
CA12	resister	1	NO
CA9	resister	1	NO
CAB39	resister	1	NO
CACNA1H	resister	1	NO
CACTIN	resister	1	NO
CACYBP	resister	1	NO
CALCRL	resister	1	NO
CALHM2	resister	1	NO
CALN1	resister	1	NO
CANT1	resister	1	NO
CAP1	resister	1	NO
CAPN11	resister	1	NO
CAPN8	resister	1	NO
CAPZA3	resister	1	NO
CARD16	resister	1	NO
CARS	resister	1	NO
CARS2	resister	1	NO
CASC3	resister	1	NO
CASP2	resister	1	NO
CASP7	resister	1	NO
CATSPERG	resister	1	NO
CBWD1	resister	1	NO
CBX4	resister	1	NO
CBX6	resister	1	NO
CCAR1	resister	1	NO
CCDC101	resister	1	NO
CCDC151	resister	1	NO
CCDC173	resister	1	NO
CCDC28A	resister	1	NO
CCDC34	resister	1	NO
CCDC42B	resister	1	NO
CCDC53	resister	1	NO
CCDC77	resister	1	NO
CCDC93	resister	1	NO
CCHCR1	resister	1	NO
CCKAR	resister	1	NO
CCL23	resister	1	NO
CCL24	resister	1	NO
CCL25	resister	1	NO
CCL27	resister	1	NO
CCNB3	resister	1	NO
CCND1	resister	1	NO
CCNDBP1	resister	1	NO
CCNE1	resister	1	NO
CCNH	resister	1	NO
CCNL1	resister	1	NO
CCP110	resister	1	NO
CCRL2	resister	1	NO
CCT3	resister	1	NO
CCZ1	resister	1	NO
CD14	resister	1	NO
CD22	resister	1	NO
CD274	resister	1	NO
CD2AP	resister	1	NO
CD33	resister	1	NO
CD37	resister	1	NO
CD3D	resister	1	NO
CD4	resister	1	NO
CD47	resister	1	NO
CD69	resister	1	NO
CD70	resister	1	NO
CD79A	resister	1	NO
CD80	resister	1	NO
CDC123	resister	1	NO
CDC14B	resister	1	NO
CDC34	resister	1	NO
CDC37	resister	1	NO
CDC42EP4	resister	1	NO
CDC42EP5	resister	1	NO
CDC45	resister	1	NO
CDC5L	resister	1	NO
CDC7	resister	1	NO
CDCA2	resister	1	NO
CDCA3	resister	1	NO
CDCA5	resister	1	NO
CDCP2	resister	1	NO
CDH1	resister	1	NO
CDH19	resister	1	NO
CDH3	resister	1	NO
CDHR1	resister	1	NO
CDIPT	resister	1	NO
CDK11B	resister	1	NO
CDK20	resister	1	NO
CDK3	resister	1	NO
CDK6	resister	1	NO
CDK8	resister	1	NO
CDK9	resister	1	NO
CDKN1B	resister	1	NO
CDKN2A	resister	1	NO
CDKN2AIP	resister	1	NO
CDKN2C	resister	1	NO
CDX2	resister	1	NO
CDYL	resister	1	NO
CEACAM1	resister	1	NO
CEACAM8	resister	1	NO
CEBPB	resister	1	NO
CELF5	resister	1	NO
CENPC1	resister	1	NO
CENPF	resister	1	NO
CENPH	resister	1	NO
CENPP	resister	1	NO
CENPQ	resister	1	NO
CEP57L1	resister	1	NO
CEP95	resister	1	NO
CEPT1	resister	1	NO
CERS2	resister	1	NO
CERS6	resister	1	NO
CES1	resister	1	NO
CETN1	resister	1	NO
CFDP1	resister	1	NO
CGGBP1	resister	1	NO
CHCHD4	resister	1	NO
CHCHD7	resister	1	NO
CHD1L	resister	1	NO
CHD4	resister	1	NO
CHMP7	resister	1	NO
CHP2	resister	1	NO
CHST15	resister	1	NO
